"","ticker","year","GHG","n","X","Company_Year","Reduction_Sentences"
"233","ATO",2018,948566,13,NA,NA,NA
"234","ATO",2019,936699,13,NA,NA,NA
"235","ATO",2020,879256,13,NA,NA,NA
"236","ATO",2021,754825,13,NA,NA,NA
"237","ATO",2022,753166,13,NA,NA,NA
"238","AVA",2010,6268,13,NA,NA,NA
"239","AVA",2011,308395,13,NA,NA,NA
"240","AVA",2012,481253,13,NA,NA,NA
"241","AVA",2013,537775.5,13,NA,NA,NA
"242","AVA",2014,567996.5,13,NA,NA,NA
"243","AVA",2015,735358,13,NA,NA,NA
"244","AVA",2016,658369.5,13,NA,NA,NA
"245","AVA",2017,606510,13,NA,NA,NA
"246","AVA",2018,683556.5,13,NA,NA,NA
"247","AVA",2019,850478.5,13,NA,NA,NA
"248","AVA",2020,773306.62563,13,NA,NA,NA
"249","AVA",2021,800103.877,13,NA,NA,NA
"250","AVA",2022,796501.6979,13,NA,NA,NA
"251","AWI",2010,127534,13,NA,NA,NA
"252","AWI",2011,234302,13,NA,NA,NA
"253","AWI",2012,220262,13,NA,NA,NA
"254","AWI",2013,209308,13,NA,NA,NA
"255","AWI",2014,204964,13,NA,NA,NA
"256","AWI",2015,197877,13,NA,NA,NA
"257","AWI",2016,188799,13,NA,NA,NA
"258","AWI",2017,184998,13,NA,NA,NA
"259","AWI",2018,206880,13,NA,NA,NA
"260","AWI",2019,192652,13,NA,NA,NA
"261","AWI",2020,180373,13,NA,NA,NA
"262","AWI",2021,184030,13,NA,NA,NA
"263","AWI",2022,183624,13,NA,NA,NA
"264","BAK",2010,59666,13,NA,NA,NA
"265","BAK",2011,50911,13,NA,NA,NA
"266","BAK",2012,44182,13,NA,NA,NA
"267","BAK",2013,48801,13,NA,NA,NA
"268","BAK",2014,44185,13,NA,NA,NA
"269","BAK",2015,45397,13,NA,NA,NA
"270","BAK",2016,44725,13,NA,NA,NA
"271","BAK",2017,52127,13,NA,NA,NA
"272","BAK",2018,50267,13,NA,NA,NA
"273","BAK",2019,50446,13,NA,NA,NA
"274","BAK",2020,54292,13,NA,NA,NA
"275","BAK",2021,70434,13,NA,NA,NA
"276","BAK",2022,65552,13,NA,NA,NA
"277","BF.B",2010,46217,13,NA,NA,NA
"278","BF.B",2011,47727,13,NA,NA,NA
"279","BF.B",2012,43578,13,NA,NA,NA
"280","BF.B",2013,47951,13,NA,NA,NA
"281","BF.B",2014,42791,13,NA,NA,NA
"282","BF.B",2015,45737,13,NA,NA,NA
"283","BF.B",2016,42269,13,NA,NA,NA
"284","BF.B",2017,32373,13,NA,NA,NA
"285","BF.B",2018,58824,13,NA,NA,NA
"286","BF.B",2019,57438,13,NA,NA,NA
"287","BF.B",2020,56994,13,NA,NA,NA
"288","BF.B",2021,70601,13,NA,NA,NA
"289","BF.B",2022,94437,13,NA,NA,NA
"290","BMY",2010,67160,13,NA,NA,NA
"291","BMY",2011,123522,13,NA,NA,NA
